match_date,opponent,venue,team_goals,opponent_goals,possession,shots,shots_on_target,corners,fouls
2024-01-15,Team Alpha,Home,3,1,58.5,12,8,6,10
2024-01-22,Team Beta,Away,2,2,45.0,8,4,4,12
2024-01-29,Team Gamma,Home,4,0,62.3,15,10,8,8
2024-02-05,Team Delta,Away,1,2,48.7,9,3,3,15
2024-02-12,Team Echo,Home,2,1,55.2,11,6,5,9
2024-02-19,Team Foxtrot,Away,0,1,42.5,6,2,2,11
2024-02-26,Team Golf,Home,3,2,60.0,14,9,7,7
2024-03-04,Team Hotel,Away,1,1,50.5,10,5,4,13
2024-03-11,Team India,Home,2,0,57.8,13,7,6,8
2024-03-18,Team Juliet,Away,2,3,47.2,8,4,3,14
